name,totalStar,fork,sinceNumber,language,since,description
google / python-fire,"10,729",596,347 ,python,day,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.
pwxcoo / chinese-xinhua,"1,125",275,222 ,python,day,中华新华字典数据库。包括歇后语，成语，词语，汉字。提供新华字典API。
NVIDIA / vid2vid,227,32,145 ,python,day,Pytorch implementation of our method for high-resolution (e.g. 2048x1024) photorealistic video-to-video translation.
imhuay / Interview_Notes-Chinese,"1,463",298,107 ,python,day,2018/2019/校招/春招/秋招/自然语言处理(NLP)/深度学习(Deep Learning)/机器学习(Machine Learning)/C/C++/Python/面试笔记
IEEEKeralaSection / rescuekerala,412,501,70 ,python,day,Website for coordinating rehabilitation of people affected in the 2018 Kerala Floods
astorfi / Deep-Learning-World,"2,065",167,82 ,python,day,📡 Organized Resources for Deep Learning Researchers and Developers
donnemartin / system-design-primer,"41,573","5,399",67 ,python,day,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
UnkL4b / GitMiner,998,220,52 ,python,day,Tool for advanced mining for content on Github
tensorflow / models,"40,114","23,830",34 ,python,day,Models and examples built with TensorFlow
vinta / awesome-python,"54,010","10,463",38 ,python,day,"A curated list of awesome Python frameworks, libraries, software and resources"
calebmadrigal / trackerjacker,"1,685",82,35 ,python,day,"Like nmap for mapping wifi networks you're not connected to, plus device tracking"
s0md3v / Photon,"3,136",280,31 ,python,day,"Incredibly fast crawler which extracts urls, emails, files, website accounts and much more."
two06 / Inception,62,21,27 ,python,day,Provides In-memory compilation and reflective loading of C# apps for AV evasion.
jhfjhfj1 / autokeras,"2,558",305,26 ,python,day,accessible AutoML for deep learning.
yeasy / docker_practice,"9,214","3,044",24 ,python,day,"Learn and understand Docker technologies, with real DevOps practice!"
chinese-poetry / chinese-poetry,"10,634","1,586",23 ,python,day,"最全中华古诗词数据库, 唐宋两朝近一万四千古诗人, 接近5.5万首唐诗加26万宋诗. 两宋时期1564位词人，21050首词。"
keras-team / keras,"32,650","12,278",20 ,python,day,Deep Learning for humans
chubin / cheat.sh,"12,362",498,20 ,python,day,the only cheat sheet you need
ageitgey / face_recognition,"16,038","3,780",19 ,python,day,The world's simplest facial recognition api for Python and the command line
django / django,"35,821","15,321",18 ,python,day,The Web framework for perfectionists with deadlines.
ashutosh1206 / Crypton,288,30,20 ,python,day,"Library consisting of explanation and implementation of all the existing attacks on various Encryption Systems, Digital Signatures, Hashing Algorithms along with example challenges from CTFs"
SpiderLabs / social_mapper,"1,357",343,15 ,python,day,A Social Media Enumeration & Correlation Tool by Jacob Wilkin(Greenwolf)
XX-net / XX-Net,"24,315","6,986",17 ,python,day,a web proxy tool
rg3 / youtube-dl,"40,719","7,177",15 ,python,day,Command-line program to download videos from YouTube.com and other video sites
pandas-dev / pandas,"15,625","6,299",16 ,python,day,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
astorfi / Deep-Learning-World,"2,065",167,"2,056 ",python,weekly,📡 Organized Resources for Deep Learning Researchers and Developers
calebmadrigal / trackerjacker,"1,685",82,"1,523 ",python,weekly,"Like nmap for mapping wifi networks you're not connected to, plus device tracking"
imhuay / Interview_Notes-Chinese,"1,463",298,"1,369 ",python,weekly,2018/2019/校招/春招/秋招/自然语言处理(NLP)/深度学习(Deep Learning)/机器学习(Machine Learning)/C/C++/Python/面试笔记
virtualabs / btlejack,867,53,844 ,python,weekly,Bluetooth Low Energy Swiss-army knife
pwxcoo / chinese-xinhua,"1,125",275,754 ,python,weekly,中华新华字典数据库。包括歇后语，成语，词语，汉字。提供新华字典API。
google / python-fire,"10,729",596,816 ,python,weekly,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.
donnemartin / system-design-primer,"41,573","5,399",743 ,python,weekly,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
chinese-poetry / chinese-poetry,"10,634","1,586",739 ,python,weekly,"最全中华古诗词数据库, 唐宋两朝近一万四千古诗人, 接近5.5万首唐诗加26万宋诗. 两宋时期1564位词人，21050首词。"
IEEEKeralaSection / rescuekerala,412,501,406 ,python,weekly,Website for coordinating rehabilitation of people affected in the 2018 Kerala Floods
SpiderLabs / social_mapper,"1,357",343,512 ,python,weekly,A Social Media Enumeration & Correlation Tool by Jacob Wilkin(Greenwolf)
tensorflow / models,"40,114","23,830",356 ,python,weekly,Models and examples built with TensorFlow
facebookresearch / UnsupervisedMT,449,50,448 ,python,weekly,Phrase-Based & Neural Unsupervised Machine Translation
jhfjhfj1 / autokeras,"2,558",305,370 ,python,weekly,accessible AutoML for deep learning.
vinta / awesome-python,"54,010","10,463",352 ,python,weekly,"A curated list of awesome Python frameworks, libraries, software and resources"
ashutosh1206 / Crypton,288,30,287 ,python,weekly,"Library consisting of explanation and implementation of all the existing attacks on various Encryption Systems, Digital Signatures, Hashing Algorithms along with example challenges from CTFs"
keras-team / keras,"32,650","12,278",223 ,python,weekly,Deep Learning for humans
chubin / cheat.sh,"12,362",498,259 ,python,weekly,the only cheat sheet you need
yogurt-cultures / kefir,346,26,225 ,python,weekly,Kefir is a natural language processing kit for Turkic languages
ageitgey / face_recognition,"16,038","3,780",205 ,python,weekly,The world's simplest facial recognition api for Python and the command line
toddmotto / public-apis,"41,224","4,117",213 ,python,weekly,A collective list of public JSON APIs for use in web development.
rg3 / youtube-dl,"40,719","7,177",197 ,python,weekly,Command-line program to download videos from YouTube.com and other video sites
s0md3v / Photon,"3,136",280,195 ,python,weekly,"Incredibly fast crawler which extracts urls, emails, files, website accounts and much more."
haskellcamargo / sclack,"1,454",44,208 ,python,weekly,"The best CLI client for Slack, because everything is terrible!"
django / django,"35,821","15,321",158 ,python,weekly,The Web framework for perfectionists with deadlines.
ansible / ansible,"32,037","12,453",153 ,python,weekly,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/"
google / python-fire,"10,729",596,347 ,python,month,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.
pwxcoo / chinese-xinhua,"1,125",275,222 ,python,month,中华新华字典数据库。包括歇后语，成语，词语，汉字。提供新华字典API。
NVIDIA / vid2vid,227,32,145 ,python,month,Pytorch implementation of our method for high-resolution (e.g. 2048x1024) photorealistic video-to-video translation.
imhuay / Interview_Notes-Chinese,"1,463",298,107 ,python,month,2018/2019/校招/春招/秋招/自然语言处理(NLP)/深度学习(Deep Learning)/机器学习(Machine Learning)/C/C++/Python/面试笔记
IEEEKeralaSection / rescuekerala,412,501,70 ,python,month,Website for coordinating rehabilitation of people affected in the 2018 Kerala Floods
astorfi / Deep-Learning-World,"2,065",167,82 ,python,month,📡 Organized Resources for Deep Learning Researchers and Developers
donnemartin / system-design-primer,"41,573","5,399",67 ,python,month,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
UnkL4b / GitMiner,998,220,52 ,python,month,Tool for advanced mining for content on Github
tensorflow / models,"40,114","23,830",34 ,python,month,Models and examples built with TensorFlow
vinta / awesome-python,"54,010","10,463",38 ,python,month,"A curated list of awesome Python frameworks, libraries, software and resources"
calebmadrigal / trackerjacker,"1,685",82,35 ,python,month,"Like nmap for mapping wifi networks you're not connected to, plus device tracking"
s0md3v / Photon,"3,136",280,31 ,python,month,"Incredibly fast crawler which extracts urls, emails, files, website accounts and much more."
two06 / Inception,62,21,27 ,python,month,Provides In-memory compilation and reflective loading of C# apps for AV evasion.
jhfjhfj1 / autokeras,"2,558",305,26 ,python,month,accessible AutoML for deep learning.
yeasy / docker_practice,"9,214","3,044",24 ,python,month,"Learn and understand Docker technologies, with real DevOps practice!"
chinese-poetry / chinese-poetry,"10,634","1,586",23 ,python,month,"最全中华古诗词数据库, 唐宋两朝近一万四千古诗人, 接近5.5万首唐诗加26万宋诗. 两宋时期1564位词人，21050首词。"
keras-team / keras,"32,650","12,278",20 ,python,month,Deep Learning for humans
chubin / cheat.sh,"12,362",498,20 ,python,month,the only cheat sheet you need
ageitgey / face_recognition,"16,038","3,780",19 ,python,month,The world's simplest facial recognition api for Python and the command line
django / django,"35,821","15,321",18 ,python,month,The Web framework for perfectionists with deadlines.
ashutosh1206 / Crypton,288,30,20 ,python,month,"Library consisting of explanation and implementation of all the existing attacks on various Encryption Systems, Digital Signatures, Hashing Algorithms along with example challenges from CTFs"
SpiderLabs / social_mapper,"1,357",343,15 ,python,month,A Social Media Enumeration & Correlation Tool by Jacob Wilkin(Greenwolf)
XX-net / XX-Net,"24,315","6,986",17 ,python,month,a web proxy tool
rg3 / youtube-dl,"40,719","7,177",15 ,python,month,Command-line program to download videos from YouTube.com and other video sites
pandas-dev / pandas,"15,625","6,299",16 ,python,month,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
MichaelMure / git-bug,"1,319",23,332 ,go,day,Distributed bug tracker embedded in Git
aykevl / tinygo,285,8,266 ,go,day,"Go compiler for small devices, based on LLVM."
jesseduffield / lazygit,"8,373",219,101 ,go,day,simple terminal UI for git commands
Jeffail / benthos,"1,313",36,54 ,go,day,"A dull, resilient and quick to deploy stream processor"
kubernetes / kubernetes,"40,228","13,990",33 ,go,day,Production-Grade Container Scheduling and Management
iikira / BaiduPCS-Go,"5,591",798,38 ,go,day,百度网盘客户端 - Go语言编写
FiloSottile / mkcert,"9,865",327,38 ,go,day,A simple zero-config tool to make locally trusted development certificates with any names you'd like.
avelino / awesome-go,"34,258","4,408",35 ,go,day,"A curated list of awesome Go frameworks, libraries and software"
v2ray / v2ray-core,"9,797","2,092",28 ,go,day,A platform for building proxies to bypass network restrictions.
golang / go,"45,679","6,235",28 ,go,day,The Go programming language
sausheong / invadersapp,33,4,27 ,go,day,Space invaders in an app
uber-go / zap,"4,842",333,25 ,go,day,"Blazing fast, structured, leveled logging in Go."
gin-gonic / gin,"19,705","2,332",23 ,go,day,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
gohugoio / hugo,"28,023","3,283",24 ,go,day,The world’s fastest framework for building websites.
satran / dohproxy,78,6,23 ,go,day,DNS over HTTPS proxy written in golang
CorentinB / DeepSort,27,1,23 ,go,day,🧠 AI powered image tagger backed by DeepDetect
go-ego / riot,"3,835",182,21 ,go,day,"Go Open Source, Distributed, Simple and efficient Search Engine"
astaxie / build-web-application-with-golang,"24,546","7,083",17 ,go,day,A golang ebook intro how to build a web with golang
fatedier / frp,"14,486","2,616",17 ,go,day,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
containous / traefik,"17,050","1,719",14 ,go,day,The Cloud Native Edge Router
araddon / qlbridge,461,22,15 ,go,day,A golang SQL expression VM. Library to build query engine based functionality.
snail007 / goproxy,"3,197",604,14 ,go,day,"Proxy is a high performance HTTP(S), websocket, TCP, UDP,Secure DNS, Socks5 proxy server implemented by golang. Now, it supports chain-style proxies,nat forwarding in different lan,TCP/UDP port forwarding, SSH forwarding.Proxy是golang实现的高性能http,https,websocket,tcp,防污染DNS,socks5代理服务器,支持内网穿透,链式代理,通讯加密,智能HTTP,SOCKS5代理,域名黑白名单,跨平台,KCP协议支持,集成外部API。"
mosuka / blast,34,3,14 ,go,day,The Blast is a full text search and indexing server written in Go that built on top of the Bleve.
istio / istio,"10,919","1,549",12 ,go,day,"Connect, secure, control, and observe services."
jroimartin / gocui,"3,271",186,13 ,go,day,Minimalist Go package aimed at creating Console User Interfaces.
FiloSottile / mkcert,"9,865",327,"2,312 ",go,weekly,A simple zero-config tool to make locally trusted development certificates with any names you'd like.
jesseduffield / lazygit,"8,373",219,"1,389 ",go,weekly,simple terminal UI for git commands
MichaelMure / git-bug,"1,319",23,"1,281 ",go,weekly,Distributed bug tracker embedded in Git
Jeffail / benthos,"1,313",36,"1,013 ",go,weekly,"A dull, resilient and quick to deploy stream processor"
uber-go / zap,"4,842",333,501 ,go,weekly,"Blazing fast, structured, leveled logging in Go."
kubernetes / kubernetes,"40,228","13,990",306 ,go,weekly,Production-Grade Container Scheduling and Management
golang / go,"45,679","6,235",313 ,go,weekly,The Go programming language
araddon / qlbridge,461,22,338 ,go,weekly,A golang SQL expression VM. Library to build query engine based functionality.
avelino / awesome-go,"34,258","4,408",287 ,go,weekly,"A curated list of awesome Go frameworks, libraries and software"
aykevl / tinygo,285,8,266 ,go,weekly,"Go compiler for small devices, based on LLVM."
